Movie title,Year,IMDb rating
Hocus Pocus 2,2022,6.1
Blonde,2022,5.5
Hocus Pocus,1993,6.9
Smile,2022,6.9
Bullet Train,2022,7.4
Don't Worry Darling,2022,6.3
Amsterdam,2022,6.2
Hellraiser,1987,6.9
Bros,2022,6.9
Mr. Harrigan's Phone,2022,6.0
The Munsters,2022,4.6
The Greatest Beer Run Ever,2022,6.8
Lou,2022,6.1
Luckiest Girl Alive,2022,6.4
Top Gun: Maverick,2022,8.4
X,2022,6.6
Last Seen Alive,2022,5.6
The Woman King,2022,6.6
Vesper,2022,6.1
Thor: Love and Thunder,2022,6.4
Jeepers Creepers: Reborn,2022,2.4
Barbarian,2022,7.6
Do Revenge,2022,6.4
Entergalactic,2022,7.5
Fall,2022,6.4
Vikram Vedha,2022,7.2
Pearl,2022,7.5
DC League of Super-Pets,2022,7.4
Inheritance,2020,5.5
Ponniyin Selvan: I,2022,8.4
Where the Crawdads Sing,2022,7.1
Elvis,2022,7.5
Avatar,2009,7.8
Everything Everywhere All at Once,2022,8.1
Nope,2022,6.9
Ticket to Paradise,2022,6.4
Significant Other,2022,5.7
Bones and All,2022,7.0
Triangle of Sadness,2022,7.9
Terrifier 2,2022,7.5
See How They Run,2022,6.7
Athena,2022,6.8
Top Gun,1986,6.9
The Lord of the Rings: The Fellowship of the Ring,2001,8.8
The Black Phone,2021,7.0
Bodies Bodies Bodies,2022,6.3
Dahmer,2002,5.6
My Friend Dahmer,2017,6.2
Pinocchio,2022,5.1
Halloween,1978,7.7
The Wonder,2022,7.2
Tár,2022,8.2
"Lyle, Lyle, Crocodile",2022,6.4
Prey,2022,7.2
The Godfather,1972,9.2
Memory,2022,5.7
My Best Friend's Exorcism,2022,5.3
God's Country,2022,5.6
The Batman,2022,7.9
Dead for a Dollar,2022,5.1
After Ever Happy,2022,4.4
The Banshees of Inisherin,2022,8.3
The Gray Man,2022,6.5
Jurassic World Dominion,2022,5.7
Kantara,2022,9.5
Three Thousand Years of Longing,2022,6.8
Till,2022,7.5
Glass Onion: A Knives Out Mystery,2022,8.0
The Invitation,2022,5.2
Beetle Juice,1988,7.5
Interview with the Vampire: The Vampire Chronicles,1994,7.5
Midsommar,2019,7.1
The Whale,2022,8.8
Speak No Evil,2022,6.6
American Psycho,2000,7.6
The Shawshank Redemption,1994,9.3
Super Mario Bros.,1993,4.1
Scream,2022,6.3
Rogue One,2016,7.8
The Northman,2022,7.1
Uncharted,2022,6.3
Dune: Part One,2021,8.0
Beast,2022,5.6
Spider-Man: No Way Home,2021,8.3
Catherine Called Birdy,2022,6.5
Father Stu,2022,6.5
Orphan: First Kill,2022,5.9
Trick 'r Treat,2007,6.7
Blackout,2022,3.9
A Jazzman's Blues,2022,6.7
